,Directory,Has Examples
78,03 Writing Algorithms\16 Importing Data\02 Streaming Data\02 Custom Securities\02 CSV Format Example,False
79,03 Writing Algorithms\16 Importing Data\02 Streaming Data\02 Custom Securities\03 JSON Format Example,False
80,03 Writing Algorithms\16 Importing Data\02 Streaming Data\03 Custom Universes\01 Key Concepts,False
81,03 Writing Algorithms\16 Importing Data\02 Streaming Data\03 Custom Universes\02 CSV Format Example,False
82,03 Writing Algorithms\16 Importing Data\02 Streaming Data\03 Custom Universes\03 JSON Format Example,False
83,03 Writing Algorithms\16 Importing Data\03 Bulk Downloads,False
84,03 Writing Algorithms\18 Consolidating Data\01 Getting Started,False
85,03 Writing Algorithms\18 Consolidating Data\02 Consolidator Types\01 Time Period Consolidators,False
86,03 Writing Algorithms\18 Consolidating Data\02 Consolidator Types\02 Calendar Consolidators,True
87,03 Writing Algorithms\18 Consolidating Data\02 Consolidator Types\03 Count Consolidators,False
88,03 Writing Algorithms\18 Consolidating Data\02 Consolidator Types\04 Mixed-Mode Consolidators,False
89,03 Writing Algorithms\18 Consolidating Data\02 Consolidator Types\05 Renko Consolidators\01 Renko Consolidators,False
90,03 Writing Algorithms\18 Consolidating Data\02 Consolidator Types\05 Renko Consolidators\02 Classic Renko Consolidators,False
91,03 Writing Algorithms\18 Consolidating Data\02 Consolidator Types\05 Renko Consolidators\03 Volume Renko Consolidators,False
92,03 Writing Algorithms\18 Consolidating Data\02 Consolidator Types\06 Range Consolidators\01 Range Consolidators,False
93,03 Writing Algorithms\18 Consolidating Data\02 Consolidator Types\06 Range Consolidators\02 Classic Range Consolidators,False
94,03 Writing Algorithms\18 Consolidating Data\02 Consolidator Types\07 Combining Consolidators,False
95,03 Writing Algorithms\18 Consolidating Data\03 Consolidator History,False
96,03 Writing Algorithms\18 Consolidating Data\08 Updating Indicators,False
97,03 Writing Algorithms\20 Historical Data\01 History Requests,False
98,03 Writing Algorithms\20 Historical Data\02 Warm Up Periods,False
99,03 Writing Algorithms\20 Historical Data\11 Rolling Window,False
100,03 Writing Algorithms\22 Trading and Orders\01 Key Concepts,False
101,03 Writing Algorithms\22 Trading and Orders\02 Order Management\01 Order Tickets,False
102,03 Writing Algorithms\22 Trading and Orders\02 Order Management\02 Transaction Manager,False
103,03 Writing Algorithms\22 Trading and Orders\03 Order Types\01 Market Orders,False
104,03 Writing Algorithms\22 Trading and Orders\03 Order Types\02 Limit Orders,False
105,03 Writing Algorithms\22 Trading and Orders\03 Order Types\03 Limit if Touched Orders,False
106,03 Writing Algorithms\22 Trading and Orders\03 Order Types\04 Stop Market Orders,False
107,03 Writing Algorithms\22 Trading and Orders\03 Order Types\05 Stop Limit Orders,False
108,03 Writing Algorithms\22 Trading and Orders\03 Order Types\06 Trailing Stop Orders,False
109,03 Writing Algorithms\22 Trading and Orders\03 Order Types\08 Market On Open Orders,False
110,03 Writing Algorithms\22 Trading and Orders\03 Order Types\09 Market On Close Orders,False
111,03 Writing Algorithms\22 Trading and Orders\03 Order Types\10 Combo Market Orders,False
112,03 Writing Algorithms\22 Trading and Orders\03 Order Types\11 Combo Limit Orders,False
113,03 Writing Algorithms\22 Trading and Orders\03 Order Types\12 Combo Leg Limit Orders,False
114,03 Writing Algorithms\22 Trading and Orders\03 Order Types\20 Option Exercise Orders,False
115,03 Writing Algorithms\22 Trading and Orders\03 Order Types\99 Other Order Types,False
116,03 Writing Algorithms\22 Trading and Orders\04 Position Sizing,False
117,03 Writing Algorithms\22 Trading and Orders\05 Liquidating Positions,False
118,03 Writing Algorithms\22 Trading and Orders\06 Crypto Trades,False
119,03 Writing Algorithms\22 Trading and Orders\08 Order Properties,False
120,03 Writing Algorithms\22 Trading and Orders\09 Order Events,False
121,03 Writing Algorithms\22 Trading and Orders\10 Order Errors,False
122,03 Writing Algorithms\22 Trading and Orders\11 Trade Statistics,False
123,03 Writing Algorithms\22 Trading and Orders\13 Trading Calendar,False
124,03 Writing Algorithms\22 Trading and Orders\14 Financial Advisors,False
125,03 Writing Algorithms\24 Reality Modeling\01 Key Concepts,False
126,03 Writing Algorithms\24 Reality Modeling\02 Trade Fills\01 Key Concepts,False
127,03 Writing Algorithms\24 Reality Modeling\03 Slippage\01 Key Concepts,False
128,03 Writing Algorithms\24 Reality Modeling\04 Transaction Fees\01 Key Concepts,False
129,03 Writing Algorithms\24 Reality Modeling\05 Brokerages\01 Key Concepts,False
130,03 Writing Algorithms\24 Reality Modeling\06 Brokerage Message Handler,False
131,03 Writing Algorithms\24 Reality Modeling\07 Buying Power,False
132,03 Writing Algorithms\24 Reality Modeling\08 Settlement\01 Key Concepts,False
133,03 Writing Algorithms\24 Reality Modeling\09 Options Models\01 Pricing,False
134,03 Writing Algorithms\24 Reality Modeling\09 Options Models\02 Volatility\01 Key Concepts,False
135,03 Writing Algorithms\24 Reality Modeling\09 Options Models\03 Exercise,False
136,03 Writing Algorithms\24 Reality Modeling\09 Options Models\04 Assignment,False
137,03 Writing Algorithms\24 Reality Modeling\10 Risk Free Interest Rate\01 Key Concepts,False
138,03 Writing Algorithms\24 Reality Modeling\11 Dividend Yield\01 Key Concepts,False
139,03 Writing Algorithms\24 Reality Modeling\12 Margin Interest Rate\01 Key Concepts,False
140,03 Writing Algorithms\24 Reality Modeling\13 Margin Calls,False
141,03 Writing Algorithms\24 Reality Modeling\14 Short Availability\01 Key Concepts,False
142,03 Writing Algorithms\24 Reality Modeling\14 Short Availability\02 Supported Providers,False
143,03 Writing Algorithms\26 Scheduled Events,True
144,03 Writing Algorithms\28 Indicators\02 Key Concepts,False
145,03 Writing Algorithms\28 Indicators\03 Manual Indicators,False
146,03 Writing Algorithms\28 Indicators\04 Automatic Indicators,False
147,03 Writing Algorithms\28 Indicators\05 Plotting Indicators,False
148,03 Writing Algorithms\28 Indicators\06 Combining Indicators,False
149,03 Writing Algorithms\28 Indicators\07 Custom Indicators,False
150,03 Writing Algorithms\28 Indicators\08 Indicator Universes,False
151,03 Writing Algorithms\28 Indicators\11 Rolling Window,False
152,03 Writing Algorithms\29 Object Store,False
153,03 Writing Algorithms\30 Optimization\01 Parameters,True
154,03 Writing Algorithms\30 Optimization\02 Walk Forward Optimization,False
155,03 Writing Algorithms\31 Machine Learning\01 Key Concepts,False
156,03 Writing Algorithms\31 Machine Learning\02 Training Models,False
157,03 Writing Algorithms\31 Machine Learning\03 Popular Libraries\01 Aesera,False
158,03 Writing Algorithms\31 Machine Learning\03 Popular Libraries\02 GPlearn,False
159,03 Writing Algorithms\31 Machine Learning\03 Popular Libraries\03 Hmmlearn,False
160,03 Writing Algorithms\31 Machine Learning\03 Popular Libraries\04 Keras,False
161,03 Writing Algorithms\31 Machine Learning\03 Popular Libraries\05 PyTorch,False
162,03 Writing Algorithms\31 Machine Learning\03 Popular Libraries\06 Scikit-Learn,False
163,03 Writing Algorithms\31 Machine Learning\03 Popular Libraries\07 Stable Baselines,False
164,03 Writing Algorithms\31 Machine Learning\03 Popular Libraries\08 Tensorflow,False
165,03 Writing Algorithms\31 Machine Learning\03 Popular Libraries\09 Tslearn,False
166,03 Writing Algorithms\31 Machine Learning\03 Popular Libraries\10 XGBoost,False
167,03 Writing Algorithms\31 Machine Learning\04 Hugging Face\01 Key Concepts,True
168,03 Writing Algorithms\31 Machine Learning\04 Hugging Face\02 Popular Models\03 Chronos-T5,True
169,03 Writing Algorithms\31 Machine Learning\04 Hugging Face\02 Popular Models\04 FinBERT,True
170,03 Writing Algorithms\34 Algorithm Framework,False
171,03 Writing Algorithms\34 Algorithm Framework\01 Overview,False
172,03 Writing Algorithms\34 Algorithm Framework\02 Universe Selection\01 Key Concepts,False
173,03 Writing Algorithms\34 Algorithm Framework\02 Universe Selection\02 Universe Settings,False
174,03 Writing Algorithms\34 Algorithm Framework\02 Universe Selection\03 Manual Universes,False
175,03 Writing Algorithms\34 Algorithm Framework\02 Universe Selection\04 Fundamental Universes,False
176,03 Writing Algorithms\34 Algorithm Framework\02 Universe Selection\05 ETF Constituents Universes,False
177,03 Writing Algorithms\34 Algorithm Framework\02 Universe Selection\06 Scheduled Universes,True
178,03 Writing Algorithms\34 Algorithm Framework\02 Universe Selection\07 Futures Universes,False
179,03 Writing Algorithms\34 Algorithm Framework\02 Universe Selection\08 Options Universes,False
180,03 Writing Algorithms\34 Algorithm Framework\02 Universe Selection\09 Legacy Fundamental Universes,False
181,03 Writing Algorithms\34 Algorithm Framework\03 Alpha\01 Key Concepts,False
182,03 Writing Algorithms\34 Algorithm Framework\04 Portfolio Construction\01 Key Concepts,False
183,03 Writing Algorithms\34 Algorithm Framework\04 Portfolio Construction\03 Supported Optimizers,False
184,03 Writing Algorithms\34 Algorithm Framework\05 Risk Management\01 Key Concepts,False
185,03 Writing Algorithms\34 Algorithm Framework\06 Execution\01 Key Concepts,False
186,03 Writing Algorithms\34 Algorithm Framework\07 Hybrid Algorithms,False
187,03 Writing Algorithms\34 Algorithm Framework\08 Insight Manager,False
188,03 Writing Algorithms\36 Charting,True
189,03 Writing Algorithms\38 Logging,False
190,03 Writing Algorithms\39 Statistics\01 Algorithm Statistics,False
191,03 Writing Algorithms\39 Statistics\02 Runtime Statistics,False
192,03 Writing Algorithms\39 Statistics\03 Trade Statistics,False
193,03 Writing Algorithms\40 Live Trading\01 Key Concepts,False
194,03 Writing Algorithms\40 Live Trading\02 Brokerages,False
195,03 Writing Algorithms\40 Live Trading\03 Data Providers,False
196,03 Writing Algorithms\40 Live Trading\04 Trading and Orders,False
197,03 Writing Algorithms\40 Live Trading\04 Trading and Orders\14 Financial Advisors,False
198,03 Writing Algorithms\40 Live Trading\07 Reconciliation,False
199,03 Writing Algorithms\40 Live Trading\40 Notifications,False
200,03 Writing Algorithms\40 Live Trading\41 Commands,False
201,03 Writing Algorithms\40 Live Trading\42 Charting and Logging,False
202,03 Writing Algorithms\40 Live Trading\99 Signal Exports\01 Collective2,False
203,03 Writing Algorithms\40 Live Trading\99 Signal Exports\03 Numerai,False
204,03 Writing Algorithms\42 Strategy Library,False
205,03 Writing Algorithms\99 Migrations\01 Zipline,False
206,03 Writing Algorithms\99 Migrations\01 Zipline\00 Initialization,False
207,03 Writing Algorithms\99 Migrations\01 Zipline\01 Using Data,False
208,03 Writing Algorithms\99 Migrations\01 Zipline\02 Ordering,False
209,03 Writing Algorithms\99 Migrations\01 Zipline\03 Logging and Plotting,False
210,03 Writing Algorithms\99 Migrations\01 Zipline\04 Quick Reference,False
211,04 Research Environment\01 Key Concepts\01 Getting Started,False
212,04 Research Environment\01 Key Concepts\02 Research Engine,False
213,04 Research Environment\02 Initialization,False
214,04 Research Environment\03 Datasets\01 Key Concepts,False
215,04 Research Environment\03 Datasets\04 US Equity,False
216,04 Research Environment\03 Datasets\06 Equity Fundamental Data,False
217,04 Research Environment\03 Datasets\08 Equity Options\01 Key Concepts,False
218,04 Research Environment\03 Datasets\08 Equity Options\02 Universes,False
219,04 Research Environment\03 Datasets\08 Equity Options\03 Individual Contracts,True
220,04 Research Environment\03 Datasets\10 Crypto,False
221,04 Research Environment\03 Datasets\11 Crypto Futures,False
222,04 Research Environment\03 Datasets\12 Futures,False
223,04 Research Environment\03 Datasets\14 Futures Options\01 Key Concepts,False
224,04 Research Environment\03 Datasets\14 Futures Options\02 Universes,False
225,04 Research Environment\03 Datasets\14 Futures Options\03 Individual Contracts,True
226,04 Research Environment\03 Datasets\16 Forex,False
227,04 Research Environment\03 Datasets\18 CFD,False
228,04 Research Environment\03 Datasets\20 Indices,False
229,04 Research Environment\03 Datasets\22 Index Options\01 Key Concepts,False
230,04 Research Environment\03 Datasets\22 Index Options\02 Universes,False
231,04 Research Environment\03 Datasets\22 Index Options\03 Individual Contracts,True
232,04 Research Environment\03 Datasets\24 Alternative Data,False
233,04 Research Environment\03 Datasets\26 Custom Data,False
234,04 Research Environment\04 Charting\01 Bokeh,False
235,04 Research Environment\04 Charting\02 Matplotlib,False
236,04 Research Environment\04 Charting\03 Plotly,False
237,04 Research Environment\04 Charting\04 Seaborn,False
238,04 Research Environment\04 Charting\05 Plotly NET,False
239,04 Research Environment\05 Universes,False
240,04 Research Environment\06 Indicators\02 Data Point Indicators,False
241,04 Research Environment\06 Indicators\03 Bar Indicators,False
242,04 Research Environment\06 Indicators\04 Trade Bar Indicators,False
243,04 Research Environment\06 Indicators\05 Combining Indicators,False
244,04 Research Environment\06 Indicators\06 Custom Indicators,False
245,04 Research Environment\06 Indicators\07 Custom Resolutions,False
246,04 Research Environment\07 Object Store,False
247,04 Research Environment\08 Machine Learning\01 Key Concepts,False
248,04 Research Environment\08 Machine Learning\03 Popular Libraries\01 Aesera,False
249,04 Research Environment\08 Machine Learning\03 Popular Libraries\02 GPlearn,False
250,04 Research Environment\08 Machine Learning\03 Popular Libraries\03 Hmmlearn,False
251,04 Research Environment\08 Machine Learning\03 Popular Libraries\04 Keras,False
252,04 Research Environment\08 Machine Learning\03 Popular Libraries\05 PyTorch,False
253,04 Research Environment\08 Machine Learning\03 Popular Libraries\06 Scikit-Learn,False
254,04 Research Environment\08 Machine Learning\03 Popular Libraries\07 Stable Baselines,False
255,04 Research Environment\08 Machine Learning\03 Popular Libraries\08 TensorFlow,False
256,04 Research Environment\08 Machine Learning\03 Popular Libraries\09 Tslearn,False
257,04 Research Environment\08 Machine Learning\03 Popular Libraries\10 XGBoost,False
258,04 Research Environment\08 Machine Learning\04 Hugging Face\01 Key Concepts,False
259,04 Research Environment\09 Debugging,False
260,04 Research Environment\10 Meta Analysis\01 Key Concepts,False
261,04 Research Environment\10 Meta Analysis\02 Backtest Analysis,False
262,04 Research Environment\10 Meta Analysis\03 Optimization Analysis,False
263,04 Research Environment\10 Meta Analysis\04 Live Analysis,False
264,04 Research Environment\10 Meta Analysis\05 Live Deployment Automation,False
